PROGRAMS,
libwacom 1.9-1,
libwebp 1.2.0-1,
libwnck3 3.36.0-1,
libwpe 1.8.0-1,
libx11 1.7.0-4,
libx86emu 3.1-1,
libxau 1.0.9-3,
libxaw 1.0.13-3,
libxcb 1.14-1,
libxcomposite 0.4.5-3,
libxcrypt 4.4.18-1,
libxcursor 1.2.0-2,
libxdamage 1.1.5-3,
libxdg-basedir 1.2.0-5,
libxdmcp 1.1.3-3,
libxext 1.3.4-3,
libxfce4ui 4.16.0-1,
libxfce4util 4.16.0-1,
libxfixes 5.0.3-4,
libxfont2 2.0.4-3,
libxft 2.3.3-2,
libxi 1.7.10-3,
libxinerama 1.1.4-3,
libxkbcommon 1.1.0-1,
libxkbcommon-x11 1.1.0-1,
libxkbfile 1.1.0-2,
libxklavier 5.4-3,
libxml2 2.9.10-8,
libxmu 1.1.3-2,
libxpm 3.5.13-2,
libxrandr 1.5.2-3,
libxrender 0.9.10-4,
libxres 1.2.0-2,
libxshmfence 1.3-2,
libxslt 1.1.34-5,
libxss 1.2.3-3,
libxt 1.2.1-1,
libxtst 1.2.3-4,
libxv 1.0.11-4,
libxvmc 1.0.12-3,
libxxf86vm 1.1.4-4,
libyaml 0.2.5-1,
licenses 20200427-1,
lilv 0.24.12-1,
linux 5.11.2.arch1-1,
linux-api-headers 5.10.13-1,
linux-atm 2.5.2-6,
linux-firmware 20210208.b79d239-1,
linux-headers 5.11.2.arch1-1,
llvm-libs 11.1.0-1,
lm_sensors 1:3.6.0.r41.g31d1f125-1,
lmdb 0.9.28-1,
logrotate 3.18.0-1,
lrzip 0.640-1,
lsb-release 1.4-18,
lsof 4.94.0-1,
lsscsi 0.31-1,
lua52 5.2.4-5,
luajit 2.0.5-3,
lvm2 2.03.11-5,
lxmenu-data 0.1.5-3,
lz4 1:1.9.3-1,
lzo 2.10-3,
lzop 1.04-3,
m4 1.4.18-3,
mailcap 2.1.49-1,
make 4.3-3,
man-db 2.9.4-1,
man-pages 5.10-1,
mc 4.8.25-3,
md4c 0.4.7-1,
mdadm 4.1-2,
memtest86+ 5.01-4,
menu-cache 1.1.0-2,
mesa 20.3.4-3,
mjpegtools 2.2.0beta-1,
mkinitcpio 30-1,
mkinitcpio-busybox 1.32.1-2,
mkinitcpio-nfs-utils 0.3-7,
mkinitcpio-openswap 0.1.0-3,
mlocate 0.26.git.20170220-5,
mobile-broadband-provider-info 20201225-1,
modemmanager 1.16.2-1,
mpfr 4.1.0-1,
mpg123 1.26.3-2,
mpv 1:0.33.0-4,
msgpack-c 3.3.0-2,
mtdev 1.1.6-1,
mtools 4.0.26-1,
mujs 1.1.0-1,
mutter 3.38.3-1,
nano 5.6.1-1,
nbd 3.21-1,
ncurses 6.2-1,
ndctl 71.1-1,
ndisc6 1.0.4-2,
neofetch 7.1.0-2,
neon 0.31.2-1,
neovim 0.4.4-1,
nerd-fonts-ubuntu-mono 2.1.0-2,
net-snmp 5.9-3,
net-tools 2.10-1,
nettle 3.7.1-1,
network-manager-applet 1.20.0-2,
networkmanager 1.30.0-2,
networkmanager-openconnect 1.2.7dev+49+gc512d5a-1,
networkmanager-openvpn 1.8.12-1,
networkmanager-pptp 1.2.9dev+10+gb41b0d0-3,
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2,
nfs-utils 2.5.3-1,
nfsidmap 2.5.3-1,
nilfs-utils 2.2.8-2,
nitrogen 1.6.1-3,
nm-connection-editor 1.20.0-2,
noto-fonts 20201226-1,
noto-fonts-emoji 20200916-1,
npth 1.6-3,
nspr 4.29-1,
nss 3.62-1,
nss-mdns 0.14.1-3,
ntfs-3g 2017.3.23-5,
ntp 4.2.8.p15-1,
numlockx 1.2-5,
nvme-cli 1.13-2,
openal 1.21.1-1,
openconnect 1:8.10-1,
opencore-amr 0.1.5-5,
openexr 2.5.5-1,
openjpeg2 2.4.0-1,
openmpi 4.0.5-2,
openresolv 3.12.0-1,
openssh 8.5p1-1,
openssl 1.1.1.j-1,
openssl-1.0 1.0.2.u-1,
openvpn 2.5.1-1,
opus 1.3.1-2,
orc 0.4.32-1,
os-prober 1.77-2,
p11-kit 0.23.22-1,
pacman 5.2.2-2,
pacman-mirrorlist 20210302-1,
pacutils 0.10.0-1,
pahole 1.20-1,
pam 1.5.1-1,
pambase 20200721.1-2,
pango 1:1.48.2-1,
pangomm 2.46.0-1,
partclone 0.3.17-1,
parted 3.4-2,
partimage 0.6.9-13,
patch 2.7.6-8,
pavucontrol 1:4.0-2,
pbzip2 1.1.13-3,
pciutils 3.7.0-1,
pcmanfm 1.3.2-1,
pcre 8.44-1,
pcre2 10.36-1,
pcsclite 1.9.0-1,
perl 5.32.1-1,
perl-alien-build 2.38-1,
perl-alien-libxml2 0.17-1,
perl-capture-tiny 0.48-4,
perl-clone 0.45-2,
perl-data-dump 1.23-6,
perl-dbi 1.643-2,
perl-encode-locale 1.05-7,
perl-error 0.17029-2,
perl-ffi-checklib 0.27-2,
perl-file-chdir 0.1011-4,
perl-file-listing 6.14-1,
perl-file-which 1.23-4,
perl-html-parser 3.75-1,
perl-html-tagset 3.20-10,
perl-http-cookies 6.10-1,
perl-http-daemon 6.06-2,
perl-http-date 6.05-3,
perl-http-message 6.28-1,
perl-http-negotiate 6.01-8,
perl-io-html 1.004-1,
perl-io-socket-ssl 2.067-2,
perl-json 2.97001-2,
perl-libwww 6.52-1,
perl-log-message 0.08-6,
perl-log-message-simple 0.10-6,
perl-lwp-mediatypes 6.02-8,
perl-lwp-protocol-https 6.10-1,
perl-mailtools 2.21-4,
perl-net-http 6.20-1,
perl-net-ssleay 1.88-2,
perl-path-tiny 0.118-1,
perl-term-readline-gnu 1.36-4,
perl-term-ui 0.46-6,
perl-timedate 2.33-2,
perl-try-tiny 0.30-5,
perl-uri 5.09-1,
perl-www-robotrules 6.02-8,
perl-xml-libxml 2.0206-1,
perl-xml-namespacesupport 1.12-4,
perl-xml-parser 2.46-2,
perl-xml-sax 1.02-1,
perl-xml-sax-base 1.09-4,
perl-xml-writer 0.625-6,
picom 8.2-1,
pigz 2.5-1,
pinentry 1.1.0-5,
pipewire 1:0.3.23-1,
pipewire-media-session 1:0.3.23-1,
pixman 0.40.0-1,
pixz 1.0.7-2,
pkcs11-helper 1.27.0-1,
pkgconf 1.7.3-1,
playerctl 2.3.1-1,
polkit 0.118-1,
polkit-gnome 0.105-5,
polybar 3.5.5-1,
poppler 21.03.0-1,
poppler-glib 21.03.0-1,
popt 1.18-1,
portaudio 1:19.6.0-7,
ppp 2.4.8-1,
pptpclient 1.10.0-2,
procps-ng 3.3.17-1,
progsreiserfs 0.3.0.5-10,
psmisc 23.4-1,
pulseaudio 14.2-2,
pulseaudio-alsa 1:1.2.2-2,
pulseaudio-bluetooth 14.2-2,
python 3.9.2-1,
python-appdirs 1.4.4-3,
python-asn1crypto 1.4.0-3,
python-cachecontrol 0.12.6-3,
python-cairo 1.20.0-3,
python-cffi 1.14.5-1,
python-chardet 3.0.4-7,
python-colorama 0.4.4-3,
python-contextlib2 0.6.0.post1-3,
python-cryptography 3.4.6-1,
python-dbus 1.2.16-3,
python-dbus-common 1.2.16-3,
python-distlib 0.3.1-2,
python-distro 1.5.0-3,
python-gobject 3.38.0-3,
python-html5lib 1.1-5,
python-idna 2.10-3,
python-msgpack 1.0.2-2,
python-ordered-set 4.0.2-3,
python-packaging 20.9-1,
python-pep517 0.9.1-3,
python-pip 20.3.1-1,
python-ply 3.11-7,
python-progress 1.5-5,
python-pycparser 2.20-3,
python-pycups 2.0.1-3,
python-pycurl 7.43.0.6-4,
python-pyopenssl 20.0.1-1,
python-pyparsing 2.4.7-3,
python-requests 2.25.1-1,
python-resolvelib 0.5.4-1,
python-retrying 1.3.3-9,
python-setproctitle 1.2.2-1,
python-setuptools 1:53.1.0-1,
python-six 1.15.0-3,
python-toml 0.10.2-3,
python-urllib3 1.26.3-1,
python-webencodings 0.5.1-6,
qpdf 10.2.0-1,
qt5-base 5.15.2-5,
qt5-xmlpatterns 5.15.2-1,
raptor 2.0.15-15,
rav1e 0.4.0-1,
readline 8.1.0-2,
reflector 2021-1,
reiserfsprogs 3.6.27-3,
rest 0.8.1-3,
rofi 1.6.1-1,
rp-pppoe 3.14-2,
rpcbind 1.2.5-3,
rsync 3.2.3-3,
rtkit 0.13-1,
rtmpdump 1:2.4.r96.fa8646d-6,
rubberband 1.9-1,
run-parts 4.8.6.1-2,
rxvt-unicode 9.22-10,
rxvt-unicode-terminfo 9.22-10,
sardi-icons 21.02-1,
sbc 1.5-2,
screen 4.8.0-3,
scrot 1.5-1,
sdl2 2.0.14-1,
sdparm 1.11-1,
sed 4.8-1,
serd 0.30.10-1,
sg3_utils 1.45-1,
shaderc 2020.3-2,
shadow 4.8.1-4,
shared-mime-info 2.0+57+gc1d1c70-1,
slang 2.3.2-2,
smartmontools 7.2-1,
smbclient 4.13.4-1,
sord 0.16.8-1,
sound-theme-freedesktop 0.8-4,
soundtouch 2.2-1,
spandsp 0.0.6-3,
speedtest-cli 2.1.2-3,
speex 1.2.0-3,
speexdsp 1.2.0-2,
spirv-tools 2020.6-1,
sqlite 3.34.1-1,
squashfs-tools 4.4-2,
sratom 0.6.8-1,
srt 1.4.2-1,
sshfs 3.7.1-1,
startup-notification 0.12-7,
stoken 0.92-4,
sudo 1.9.5.p2-1,
surfn-icons-git 21.02-1,
svt-hevc 1.5.0-1,
sxiv 26-1,
sysfsutils 2.1.0-11,
syslinux 6.04.pre2.r11.gbf6db5b4-3,
sysstat 12.4.0-2,
system-config-printer 1.5.15-1,
systemd 247.3-1,
systemd-libs 247.3-1,
systemd-sysvcompat 247.3-1,
t1lib 5.1.2-8,
taglib 1.12-1,
talloc 2.3.2-1,
tar 1.34-1,
tcl 8.6.11-1,
tcpdump 4.99.0-1,
tdb 1.4.3-4,
teams 1.3.00.30857-1,
terminus-font 4.49.1-1,
termite 15-3,
termite-terminfo 15-3,
testdisk 7.1-2,
tevent 1:0.10.2-3,
texinfo 6.7-3,
thin-provisioning-tools 0.9.0-1,
tlp 1.3.1-2,
tracker3 3.0.3-1,
tree 1.8.0-2,
trizen 1:1.64-1,
tslib 1.22-1,
ttf-dejavu 2.37+18+g9b5d1b2f-2,
ttf-font-awesome 5.15.2-1,
twolame 0.4.0-2,
tzdata 2021a-1,
uchardet 0.0.7-1,
udisks2 2.9.2-1,
unibilium 2.1.0-2,
unzip 6.0-14,
upower 0.99.11-3,
urxvt-resize-font-git 27.b593580-1,
usb_modeswitch 2.6.1-1,
usbmuxd 1.1.1-1,
usbutils 013-1,
util-linux 2.36.2-1,
util-linux-libs 2.36.2-1,
v4l-utils 1.20.0-1,
vamp-plugin-sdk 2.10.0-1,
vid.stab 1.1-3,
vim-runtime 8.2.2489-1,
visual-studio-code-bin 1.54.0-2,
vmaf 1.5.3-1,
volume_key 0.3.12-5,
volumeicon 0.5.1-5,
vpnc 1:0.5.3.r468.r81-2,
vte-common 0.62.3-1,
vulkan-icd-loader 1.2.171-1,
wavpack 5.4.0-1,
wayland 1.19.0-1,
wayland-protocols 1.20-1,
webkit2gtk 2.30.5-1,
webrtc-audio-processing 0.3.1-2,
wget 1.21.1-1,
which 2.21-5,
wildmidi 0.4.3-3,
wireless-regdb 2020.11.20-1,
wireless_tools 30.pre9-3,
woff2 1.0.2-3,
wpa_supplicant 2:2.9-8,
wpebackend-fdo 1.8.0-1,
wvdial 1.61-8,
wvstreams 4.6.1-16,
x264 3:0.160.r3011.cde9a93-1,
x265 3.4-1,
xapp 2.0.7-1,
xautolock 2.2-6,
xcb-proto 1.14.1-3,
xcb-util 0.4.0-3,
xcb-util-cursor 0.1.3-3,
xcb-util-image 0.4.0-3,
xcb-util-keysyms 0.4.0-3,
xcb-util-renderutil 0.3.9-3,
